Index,Word,Part of Speech,Definition,Sentence
590,"Kitsch","noun","art, objects, or design considered to be in poor taste because of excessive garishness or sentimentality, but sometimes appreciated in an ironic or knowing way","The lava lamp is an example of sixties kitsch."
591,"Loquacious","adjective","tending to talk a great deal; talkative","A loquacious host."
592,"Mendicant","noun","a beggar","In the Middle Ages, a mendicant was a beggar."
593,"Nexus","noun","a connection or series of connections linking two or more things","The nexus between industry and political power."
594,"Ostentatious","adjective","characterized by vulgar or pretentious display; designed to impress or attract notice","Books that people buy and display ostentatiously but never actually finish."
595,"Pulchritudinous","adjective","physically beautiful","She was a pulchritudinous woman."
596,"Quagmire","noun","a soft boggy area of land that gives way underfoot","Tourists can find themselves in a quagmire if they go off the path."
597,"Ribald","adjective","referring to sexual matters in an amusingly coarse or irreverent way","Ribald jokes."
598,"Sycophant","noun","a person who acts obsequiously toward someone important in order to gain advantage","His assistant was just a sycophant."
599,"Trivial","adjective","of little value or importance","Huge fines were imposed for trivial offenses."
600,"Ubiquitous","adjective","present, appearing, or found everywhere","His ubiquitous influence was felt by all the family."
601,"Vociferous","adjective","vocal and loud, clamorous","He was a vociferous opponent of the takeover."
602,"Welter","noun","a large number of items in no order; a confused mass","A welter of conflicting accounts."
603,"Xenophobia","noun","dislike of or prejudice against people from other countries","The xenophobia in politics is troubling."
604,"Yokel","noun","an uneducated and unsophisticated person from the countryside","He was regarded as a yokel by the city slickers."
605,"Zoetic","adjective","pertaining to life; living, vital","The zoetic energy of the city."
606,"Acquiesce","verb","accept something reluctantly but without protest","Sara acquiesced in his decision."
607,"Belligerent","adjective","hostile and aggressive","The mood at the meeting was belligerent."
608,"Clandestine","adjective","kept secret or done secretively","She deserved better than these clandestine meetings."
609,"Decimate","verb","kill, destroy, or remove a large percentage or part of","The project would decimate the fragile wetland wilderness."
610,"Extemporaneous","adjective","spoken or done without preparation","An extemporaneous speech."
611,"Furtive","adjective","attempting to avoid notice or attention, typically because of guilt or a belief that discovery would lead to trouble; secretive","They spent a furtive day together."
612,"Gregarious","adjective","fond of company; sociable","He was a popular and gregarious man."
613,"Heinous","adjective","utterly odious or wicked","A battery of heinous crimes."
614,"Impunity","noun","exemption from punishment or freedom from the injurious consequences of an action","The impunity enjoyed by military officers implicated in civilian killings."
615,"Juxtapose","verb","place or deal with close together for contrasting effect","Black-and-white photos were juxtaposed with color images."
616,"Kerfuffle","noun","a commotion or fuss, especially one caused by conflicting views","There was a kerfuffle over the chairmanship."
617,"Loath","adjective","reluctant; unwilling","I was loath to leave."
618,"Meticulous","adjective","showing great attention to detail; very careful and precise","The designs are hand-glazed with meticulous care."
619,"Nefarious","adjective","wicked or criminal","The nefarious activities of the organized-crime syndicates."
620,"Obfuscate","verb","make obscure, unclear, or unintelligible","The spelling changes will deform some familiar words and obfuscate their etymological origins."
621,"Philistine","noun","a person who is hostile or indifferent to culture and the arts","I am a complete philistine when it comes to paintings."
622,"Quandary","noun","a state of perplexity or uncertainty over what to do in a difficult situation","Kate was in a quandary."
623,"Recalcitrant","adjective","having an obstinately uncooperative attitude toward authority or discipline","A class of recalcitrant fifteen-year-olds."
624,"Scintillating","adjective","sparkling or shining brightly; brilliantly and excitingly clever or skillful","The scintillating sun."
625,"Trepidation","noun","a feeling of fear or agitation about something that may happen","The men set off in fear and trepidation."
626,"Umami","noun","a category of taste in food (besides sweet, sour, salt, and bitter), corresponding to the flavor of glutamates","Umami is a savory taste sensation originally identified in Asian cuisine."
627,"Vacillate","verb","alternate or waver between different opinions or actions; be indecisive","I vacillated between teaching and journalism."
628,"Wanderlust","noun","a strong desire to travel","A man consumed by wanderlust."
629,"Xylophone","noun","a musical instrument played by striking a row of wooden bars of graduated length with one or more small wooden or plastic beaters","The xylophone is a favorite instrument in elementary music classes."
630,"Yield","verb","give way to arguments, demands, or pressure","The Western powers now yielded when they should have resisted."
631,"Zygote","noun","a diploid cell resulting from the fusion of two haploid gametes; a fertilized ovum","A zygote is the beginning of a new human life."
632,"Abnegate","verb","renounce or reject (something desired or valuable)","He attempts to abnegate personal responsibility."
633,"Brouhaha","noun","a noisy and overexcited reaction or response to something","The brouhaha over the new curriculum."
634,"Cacophony","noun","a harsh, discordant mixture of sounds","A cacophony of deafening alarm bells."
635,"Derelict","adjective","in a very poor condition as a result of disuse and neglect","The cities were derelict and dying."
636,"Egregious","adjective","outstandingly bad; shocking","Egregious abuses of copyright."
637,"Frugal","adjective","sparing or economical with regard to money or food","I'm a bit too frugal to splash out on designer clothes."
638,"Glib","adjective","(of words or the person speaking them) fluent and voluble but insincere and shallow","She was careful not to let a glib answer slip out."
639,"Hegemony","noun","leadership or dominance, especially by one country or social group over others","Germany was united under Prussian hegemony after 1871."
640,"Idiosyncratic","adjective","relating to idiosyncrasy; peculiar or individual","She emerged as one of the great idiosyncratic talents of the nineties."
641,"Juggernaut","noun","a huge, powerful, and overwhelming force or institution","A juggernaut of secular and commercial culture."
642,"Knell","noun","the sound of a bell, especially when rung solemnly for a death or funeral","The bell's mournful knell."
643,"Ludicrous","adjective","so foolish, unreasonable, or out of place as to be amusing; ridiculous","It's ludicrous that I have been fined."
644,"Misnomer","noun","a wrong or inaccurate name or designation","'King crab' is a misnomer—these creatures are not crustaceans at all."
645,"Nemesis","noun","the inescapable agent of someone's or something's downfall","The balance beam was her nemesis, as she fell off time after time."
646,"Onerous","adjective","involving an amount of effort and difficulty that is oppressively burdensome","He found his duties increasingly onerous."
647,"Paradigm","noun","a typical example or pattern of something; a model","The paradigm of the successful entrepreneur."
648,"Quixotic","adjective","exceedingly idealistic; unrealistic and impractical","A quixotic quest for the perfect job."
649,"Reticent","adjective","not revealing one's thoughts or feelings readily","She was extremely reticent about her personal affairs."
650,"Sardonic","adjective","grimly mocking or cynical","He gave a sardonic grin."
651,"Tautology","noun","the saying of the same thing twice in different words, generally considered to be a fault of style (e.g., 'they arrived one after the other in succession')","The phrase 'free gift' is a tautology."
652,"Ubiquitous","adjective","present, appearing, or found everywhere","Coffee shops are ubiquitous in the city."
653,"Vitriol","noun","cruel and bitter criticism","Her mother's sudden gush of fury and vitriol."
654,"Wan","adjective","pale and giving the impression of illness or exhaustion","She was looking wan and bleary-eyed."
655,"Xenophile","noun","an individual who is attracted to foreign peoples, manners, or cultures","As a xenophile, she loved immersing herself in different cultures."
656,"Yore","noun","of long ago or former times (used in nostalgic or mock-nostalgic recollection)","The days of yore."
657,"Zenith","noun","the time at which something is most powerful or successful","Under Justinian, the Byzantine Empire reached its zenith of influence."
658,"Abrogate","verb","repeal or do away with (a law, right, or formal agreement)","A proposal to abrogate temporarily the right to strike."
659,"Besmirch","verb","damage the reputation of (someone or something) in the opinion of others","He had besmirched the good name of his family."
660,"Chagrin","noun","distress or embarrassment at having failed or been humiliated","To my chagrin, my name was not on the list."
661,"Deleterious","adjective","causing harm or damage","Diversions can have a deleterious effect on productivity."
662,"Euphoria","noun","a feeling or state of intense excitement and happiness","The euphoria of winning the lottery."
663,"Fecund","adjective","producing or capable of producing an abundance of offspring or new growth; fertile","A lush and fecund garden."
664,"Gallivant","verb","go around from one place to another in the pursuit of pleasure or entertainment","He quit his job to go gallivanting around the globe."
665,"Hemorrhage","noun","an escape of blood from a ruptured blood vessel, especially when profuse","She was rushed into surgery because of a brain hemorrhage."
666,"Impeccable","adjective","in accordance with the highest standards; faultless","He had impeccable manners."
667,"Jaundice","noun","bitterness, resentment, or envy","His jaundice was obvious when he spoke of his rival."
668,"Kowtow","verb","act in an excessively subservient manner","She didn't have to kowtow to a boss."
669,"Labyrinth","noun","a complicated irregular network of passages or paths in which it is difficult to find one's way; a maze","A labyrinth of passages and secret chambers."
670,"Misogynist","noun","a person who dislikes, despises, or is strongly prejudiced against women","He is a notorious misogynist."
671,"Nostalgia","noun","a sentimental longing or wistful affection for a period in the past","She has nostalgia for the fashions of the 1970s."
672,"Obdurate","adjective","stubbornly refusing to change one's opinion or course of action","I argued this point with him, but he was obdurate."
673,"Parsimonious","adjective","very unwilling to spend money or use resources","She's too parsimonious to heat the house properly."
674,"Quagmire","noun","a soft boggy area of land that gives way underfoot","I began to sink into the quagmire of school politics."
675,"Resplendent","adjective","attractive and impressive through being richly colorful or sumptuous","He was resplendent in his military uniform."
676,"Stalwart","adjective","loyal, reliable, and hardworking","He remained a stalwart supporter of the cause."
677,"Tenuous","adjective","very weak or slight","The tenuous link between interest rates and investment."
678,"Unorthodox","adjective","contrary to what is usual, traditional, or accepted; not orthodox","Her unorthodox views have been a source of controversy."
679,"Vicissitude","noun","a change of circumstances or fortune, typically one that is unwelcome or unpleasant","Even with the vicissitudes of the market, we still made a profit."
680,"Whimsical","adjective","playfully quaint or fanciful, especially in an appealing and amusing way","The whimsical decorations make the restaurant charming."
681,"Xenophobic","adjective","having or showing a dislike of or prejudice against people from other countries","His comments were criticized as xenophobic."
682,"Yield","verb","produce or provide (a natural, agricultural, or industrial product)","The land yields grapes and tobacco."
683,"Zephyr","noun","a soft gentle breeze","The zephyr from the ocean made the day even more pleasant."
684,"Anomaly","noun","something that deviates from what is standard, normal, or expected","There are a number of anomalies in the present system."
685,"Blithe","adjective","showing a casual and cheerful indifference considered to be callous or improper","A blithe disregard for the rules of the road."
686,"Churlish","adjective","rude in a mean-spirited and surly way","It seems churlish to complain."
687,"Derision","noun","contemptuous ridicule or mockery","My stories were greeted with derision and disbelief."
688,"Ebullient","adjective","cheerful and full of energy","She sounded ebullient and happy."
689,"Fathom","verb","understand (a difficult problem or an enigmatic person) after much thought","He could not fathom the complexity of the problem."
690,"Garrulous","adjective","excessively talkative, especially on trivial matters","A garrulous cab driver."
691,"Harangue","noun","a lengthy and aggressive speech","They endured a long harangue about the evils of sin."
692,"Ignominious","adjective","deserving or causing public disgrace or shame","No other party risked ignominious defeat."
693,"Jingoistic","adjective","characterized by extreme patriotism, especially in the form of aggressive or warlike foreign policy","Jingoistic propaganda."
694,"Kleptomaniac","noun","someone with an irresistible urge to steal, typically without economic need","A kleptomaniac might not be able to resist the urge to steal something, even if they don't need it."
695,"Loquacious","adjective","tending to talk a great deal; talkative","A loquacious host."
696,"Misnomer","noun","a wrong or inaccurate name or designation","'King crab' is a misnomer—these creatures are not true crabs."
697,"Nefarious","adjective","wicked or criminal","The nefarious activities of the organized-crime syndicates."
698,"Obsequious","adjective","obedient or attentive to an excessive or servile degree","They were served by obsequious waiters."
699,"Plethora","noun","a large or excessive amount of something","A plethora of committees and subcommittees."
700,"Quintessential","adjective","representing the most perfect or typical example of a quality or class","He was the quintessential tough guy—strong, silent, and self-contained."
701,"Recalcitrant","adjective","having an obstinately uncooperative attitude toward authority or discipline","A class of recalcitrant fifteen-year-olds."
702,"Sycophant","noun","a person who acts obsequiously toward someone important in order to gain advantage","His colleagues regarded him as a sycophant."
703,"Trepidation","noun","a feeling of fear or agitation about something that may happen","The men set off in fear and trepidation."
704,"Ubiquity","noun","the fact of appearing everywhere or of being very common","The ubiquity of fast food chains."
705,"Vex","verb","make (someone) feel annoyed, frustrated, or worried, especially with trivial matters","The memory of the conversation still vexed him."
706,"Wistful","adjective","having or showing a feeling of vague or regretful longing","A wistful smile."
707,"Xeriscape","noun","a style of landscape design requiring little or no irrigation or other maintenance, used in arid regions","A garden filled with xeriscape."
708,"Yokel","noun","an uneducated and unsophisticated person from the countryside","He is viewed as a yokel by the city folk."
709,"Zephyr","noun","a soft gentle breeze","A zephyr blew through the fields."
710,"Abscond","verb","leave hurriedly and secretly, typically to avoid detection of or arrest for an unlawful action such as theft","She absconded with the remaining thousand dollars."
711,"Blasphemy","noun","the act or offense of speaking sacrilegiously about God or sacred things; profane talk","He was detained on charges of blasphemy."
712,"Cognizant","adjective","having knowledge or being aware of","Statesmen must be cognizant of the political boundaries within which they work."
713,"Duplicity","noun","deceitfulness in speech or conduct, as by speaking or acting in two different ways to different people concerning the same matter","The duplicity of her behavior led to her downfall."
714,"Effrontery","noun","insolent or impertinent behavior","One juror had the effrontery to challenge the coroner's decision."
715,"Fallacious","adjective","based on a mistaken belief","Fallacious arguments."
716,"Gumption","noun","shrewd or spirited initiative and resourcefulness","With typical gumption, she had set up her own business."
717,"Hubris","noun","excessive pride or self-confidence","The self-assured hubris among economists was shaken in the late 1980s."
718,"Impecunious","adjective","having little or no money","A titled but impecunious family."
719,"Jeopardize","verb","put (someone or something) into a situation in which there is a risk of loss, harm, or failure","The whole peace process is being jeopardized."
720,"Kaleidoscope","noun","a constantly changing pattern or sequence of elements","A kaleidoscope of shifting alliances."
721,"Labyrinthine","adjective","like a labyrinth; irregular and twisting","She found her way through the labyrinthine corridors of the old building."
722,"Miscreant","noun","a person who behaves badly or in a way that breaks the law","He urged that miscreants should be punished appropriately."
723,"Narcissistic","adjective","having an excessive or erotic interest in oneself and one's physical appearance","A narcissistic actor who only cares about his looks."
724,"Obfuscate","verb","render obscure, unclear, or unintelligible","Politicians who obfuscate the issues."
725,"Paradigm","noun","a typical example or pattern of something; a model","The war was a paradigm of the destructive side of human nature."
726,"Querulous","adjective","complaining in a petulant or whining manner","She became querulous and demanding."
727,"Reciprocal","adjective","given, felt, or done in return","They were hoping for reciprocal concessions from their partners."
728,"Sanguine","adjective","optimistic or positive, especially in an apparently bad or difficult situation","He is sanguine about prospects for the global economy."
729,"Transcendent","adjective","beyond or above the range of normal or merely physical human experience","The search for a transcendent level of knowledge."
730,"Unilateral","adjective","(of an action or decision) performed by or affecting only one person, group, or country involved in a particular situation, without the agreement of another or the others","Unilateral nuclear disarmament."
731,"Vexatious","adjective","causing or tending to cause annoyance, frustration, or worry","The vexatious questions posed by software copyrights."
732,"Winsome","adjective","attractive or appealing in appearance or character","A winsome smile."
733,"Xenogenesis","noun","the supposed generation of offspring that is markedly different from either parent","Xenogenesis has been studied in various organisms."
734,"Yaffle","verb","(of a green woodpecker) give a characteristic series of short, ascending, undulating calls","The woodpecker was yaffling in the distance."
735,"Zealot","noun","a person who is fanatical and uncompromising in pursuit of their religious, political, or other ideals","A zealot for constitutional rights."
736,"Aberration","noun","a departure from what is normal, usual, or expected, typically an unwelcome one","They described the outbreak of violence in the area as an aberration."
737,"Bereft","adjective","deprived of or lacking something, especially a nonmaterial asset","Her room was stark and bereft of color."
738,"Cabal","noun","a secret political clique or faction","A cabal of dissidents."
739,"Decimate","verb","kill, destroy, or remove a large proportion of","The project would decimate the fragile wetland wilderness."
740,"Elucidate","verb","make (something) clear; explain","They would not elucidate further."
741,"Fugacious","adjective","tending to disappear; fleeting","The fugacious nature of fashion trends."
742,"Gravitas","noun","dignity, seriousness, or solemnity of manner","A post for which he has the expertise and the gravitas."
743,"Heuristic","adjective","enabling a person to discover or learn something for themselves","A heuristic process."
744,"Imbroglio","noun","an extremely confused, complicated, or embarrassing situation","The political imbroglio of the last few months."
745,"Juxtapose","verb","place or deal with close together for contrasting effect","Black-and-white photos were juxtaposed with color images."
746,"Kinetic","adjective","relating to or resulting from motion","The kinetic energy of the falling rocks."
747,"Legerdemain","noun","skillful use of one's hands when performing conjuring tricks","The magician's legerdemain was impressive."
748,"Mendacious","adjective","not telling the truth; lying","Mendacious propaganda."
749,"Nebulous","adjective","in the form of a cloud or haze; hazy","A nebulous concept of freedom."
750,"Obloquy","noun","strong public criticism or verbal abuse","He endured years of contempt and obloquy."
751,"Palpable","adjective","able to be touched or felt","The tension was palpable."
752,"Quixotic","adjective","exceedingly idealistic; unrealistic and impractical","A quixotic quest for ideal love."
753,"Reverie","noun","a state of being pleasantly lost in one's thoughts; a daydream","A knock on the door broke her reverie."
754,"Sardonic","adjective","grimly mocking or cynical","He gave a sardonic smile."
755,"Truculent","adjective","eager or quick to argue or fight; aggressively defiant","The truculent attitude of farmers to cheaper imports."
756,"Usurp","verb","take (a position of power or importance) illegally or by force","Richard usurped the throne."
757,"Voracious","adjective","wanting or devouring great quantities of food","He had a voracious appetite."
758,"Wily","adjective","skilled at gaining an advantage, especially deceitfully","He is a wily old attorney."
759,"Xanthic","adjective","of or pertaining to a yellow or yellowish color","The xanthic tint of the morning sunlight."
760,"Yen","noun","a longing or yearning","She had a yen to see her old house."
761,"Zany","adjective","amusingly unconventional and idiosyncratic","Zany humor."
762,"Acrimonious","adjective","(typically of speech or a debate) angry and bitter","An acrimonious dispute about wages."
763,"Bellicose","adjective","demonstrating aggression and willingness to fight","A group of bellicose patriots."
764,"Cajole","verb","persuade someone to do something by sustained coaxing or flattery","He cajoled her into selling the house."
765,"Deride","verb","express contempt for; ridicule","Critics derided the proposals as clumsy attempts to find a solution."
766,"Excoriate","verb","criticize (someone) severely","He was excoriated for his mistakes."
767,"Furtive","adjective","attempting to avoid notice or attention, typically because of guilt or a belief that discovery would lead to trouble; secretive","They spent a furtive day together."
768,"Garrulous","adjective","excessively talkative, especially on trivial matters","A garrulous cab driver."
769,"Harangue","verb","lecture (someone) at length in an aggressive and critical manner","The kind of guy who could harangue total strangers about pollution."
770,"Ineffable","adjective","too great or extreme to be expressed or described in words","The ineffable natural beauty of the Everglades."
771,"Jejune","adjective","naive, simplistic, and superficial","Their entirely predictable and usually jejune opinions."
772,"Knell","verb","(of a bell) ring solemnly, especially for a death or a funeral","The church bell knelled to mark the end of the ceremony."
773,"Limpid","adjective","(of a liquid) free of anything that darkens; completely clear","Sunlight poured in through limpid water."
774,"Maelstrom","noun","a powerful whirlpool in the sea or a river","A maelstrom had formed in the waters."
775,"Nadir","noun","the lowest point in the fortunes of a person or organization","They had reached the nadir of their sufferings."
776,"Opulence","noun","great wealth or luxuriousness","Rooms of spectacular opulence."
777,"Parochial","adjective","having a limited or narrow outlook or scope","This worldview seems incredibly naive and parochial."
778,"Quiescent","adjective","in a state or period of inactivity or dormancy","The virus remains quiescent in the body for many years."
779,"Rapacious","adjective","aggressively greedy or grasping","Rapacious landlords."
780,"Scintilla","noun","a tiny trace or spark of a specified quality or feeling","A scintilla of doubt about the venture."
781,"Tautology","noun","the saying of the same thing twice in different words, generally considered to be a fault of style (e.g., they arrived one after the other in succession)","A tautology that adds no information."
782,"Umbrage","noun","offense or annoyance","She took umbrage at his remarks."
783,"Vicissitude","noun","a change of circumstances or fortune, typically one that is unwelcome or unpleasant","The vicissitudes of daily life."
784,"Wheedle","verb","employ endearments or flattery to persuade someone to do something or give one something","She wheedled her way onto the guest list."
785,"Xenophile","noun","an individual who is attracted to foreign peoples, manners, or cultures","As a xenophile, she took great interest in all things foreign."
786,"Yammer","verb","make a loud repetitive noise","He was yammering on about historical facts."
787,"Zephyr","noun","a soft gentle breeze","A zephyr blew through the fields."
788,"Auspicious","adjective","conducive to success; favorable","An auspicious occasion."
789,"Besmirch","verb","damage the reputation of (someone or something) in the opinion of others","He had besmirched the good name of his family."
790,"Conciliate","verb","stop (someone) from being angry or discontented; placate; pacify","Actions were needed to conciliate the discontented workers."
791,"Deprecate","verb","express disapproval of","He deprecates the value of children's television."
792,"Exculpate","verb","show or declare that (someone) is not guilty of wrongdoing","The article exculpated the mayor."
793,"Feckless","adjective","lacking initiative or strength of character; irresponsible","A feckless mama's boy."
794,"Glib","adjective","(of words or the person speaking them) fluent and voluble but insincere and shallow","She was careful not to let a glib response slip out."
795,"Histrionic","adjective","overly theatrical or melodramatic in character or style","A histrionic outburst."
796,"Ingrate","noun","an ungrateful person","They are ingrates and deserve nothing."
797,"Jingoistic","adjective","characterized by extreme patriotism, especially in the form of aggressive or warlike foreign policy","The jingoistic rhetoric of some right wing politicians."
798,"Klaxon","noun","an electric horn or a similar loud warning device","The klaxon sounded at the factory."
799,"Lethargy","noun","a lack of energy and enthusiasm","There was an air of lethargy about him."
800,"Macerate","verb","soften or break up (something, especially food) by soaking in a liquid","The mustard seeds are macerated in vinegar."
801,"Nebulous","adjective","in the form of a cloud or haze; hazy","A nebulous concept."
802,"Obfuscate","verb","make obscure, unclear, or unintelligible","The spelling changes will deform some familiar words and obfuscate their etymological origins."
803,"Palliative","adjective","relieving pain without dealing with the cause of the condition","Palliative care."
804,"Quintessential","adjective","representing the most perfect or typical example of a quality or class","He was the quintessential tough guy—strong, silent, and self-contained."
805,"Recalcitrant","adjective","having an obstinately uncooperative attitude toward authority or discipline","A class of recalcitrant fifteen-year-olds."
806,"Stymie","verb","prevent or hinder the progress of","The changes must not be allowed to stymie new medical treatments."
807,"Temerity","noun","excessive confidence or boldness; audacity","No one had the temerity to question his conclusions."
808,"Ubiquitous","adjective","present, appearing, or found everywhere","His ubiquitous influence was felt by all the family."
809,"Vociferous","adjective","vehement or clamorous","He was a vociferous opponent of the takeover."
810,"Waggish","adjective","humorous in a playful, mischievous, or facetious manner","A waggish response."
811,"Xenophobic","adjective","having or showing a dislike of or prejudice against people from other countries","Xenophobic attitudes."
812,"Yaw","verb","(of a moving ship or aircraft) twist or oscillate about a vertical axis","The jet yawed sharply to the right."
813,"Zeitgeist","noun","the defining spirit or mood of a particular period of history as shown by the ideas and beliefs of the time","The zeitgeist of the 1960s."
814,"Alacrity","noun","brisk and cheerful readiness","She accepted the invitation with alacrity."
815,"Bumptious","adjective","self-assertive or proud to an irritating degree","A bumptious young man."
816,"Clandestine","adjective","kept secret or done secretively, especially because illicit","She deserved better than these clandestine meetings."
817,"Dilatory","adjective","slow to act","He had been dilatory in appointing a solicitor."
818,"Ebullient","adjective","cheerful and full of energy","She sounded ebullient and happy."
819,"Fractious","adjective","(typically of children) irritable and quarrelsome","They fight and squabble like fractious children."
820,"Gormandize","verb","eat good food, especially to excess","He was not one to gormandize and had little interest in food."
821,"Hubris","noun","excessive pride or self-confidence","The self-assured hubris among economists was shaken in the late 1980s."
822,"Indolent","adjective","wanting to avoid activity or exertion; lazy","They were indolent and addicted to a life of pleasure."
823,"Juxtapose","verb","place or deal with close together for contrasting effect","Black-and-white photos were juxtaposed with color images."
824,"Kinetic","adjective","of, relating to, or resulting from motion","The kinetic energy of an object."
825,"Loquacious","adjective","tending to talk a great deal; talkative","Never loquacious, Sarah was now totally silent."
826,"Munificent","adjective","larger or more generous than is usual or necessary","A munificent gift."
827,"Nefarious","adjective","(typically of an action or activity) wicked or criminal","The nefarious activities of the organized-crime syndicates."
828,"Ossify","verb","turn into bone or bony tissue","These tracts soon ossify into solid bone."
829,"Pusillanimous","adjective","showing a lack of courage or determination; timid","Some argue that taking a tougher line would have been a pusillanimous retreat from principle."
830,"Quixotic","adjective","exceedingly idealistic; unrealistic and impractical","A quixotic quest for an ideal justice."
831,"Recondite","adjective","(of a subject or knowledge) little known; abstruse","The book is full of recondite information."
832,"Sagacious","adjective","having or showing keen mental discernment and good judgment; shrewd","They were sagacious enough to avoid any outright confrontation."
833,"Taciturn","adjective","(of a person) reserved or uncommunicative in speech; saying little","After such gatherings she would be taciturn and morose."
834,"Umbrageous","adjective","affording shade","An umbrageous tree."
835,"Vapid","adjective","offering nothing that is stimulating or challenging","Tuneful but vapid musical comedies."
836,"Winsome","adjective","attractive or appealing in appearance or character","A winsome smile."
837,"Xeric","adjective","characterized by or adapted to a dry habitat","Xeric plants like cacti and succulents."
838,"Yare","adjective","(of a boat) quick to the helm; easily manageable","A yare little boat."
839,"Zestful","adjective","full of energy and enthusiasm","A zestful approach to life."
840,"Abrogate","verb","repeal or do away with (a law, right, or formal agreement)","A proposal to abrogate temporarily the right to strike."
841,"Bucolic","adjective","relating to the pleasant aspects of the countryside and country life","The church is lovely for its bucolic setting."
842,"Cynosure","noun","a person or thing that is the center of attention or admiration","He is the cynosure of all eyes."
843,"Dyspeptic","adjective","of or having indigestion or consequent irritability or depression","A dyspeptic stomach."
844,"Effervescent","adjective","vivacious and enthusiastic","An effervescent personality."
845,"Flippant","adjective","not showing a serious or respectful attitude","A flippant remark."
846,"Genuflect","verb","lower one's body briefly by bending one knee to the ground, typically in worship or as a sign of respect","She genuflected and crossed herself."
847,"Hegemony","noun","leadership or dominance, especially by one state or social group over others","Germany was united under Prussian hegemony after 1871."
848,"Irascible","adjective","having or showing a tendency to be easily angered","An irascible old man."
849,"Jeopardize","verb","put (someone or something) into a situation in which there is a risk of loss, harm, or failure","A devaluation of the dollar would jeopardize New York's position as a financial center."
850,"Kibosh","noun","put an end to; dispose of decisively","The high winds put the kibosh on our plans for a barbecue."
851,"Lambaste","verb","criticize (someone or something) harshly","They lambasted the report as a gross distortion of the truth."
852,"Mendacious","adjective","not telling the truth; lying","Mendacious propaganda."
853,"Nugatory","adjective","of no value or importance","A nugatory and pointless observation."
854,"Obstreperous","adjective","noisy and difficult to control","The boy is cocky and obstreperous."
855,"Parochial","adjective","having a limited or narrow outlook or scope","This worldview seems incredibly naive and parochial."
856,"Querulous","adjective","complaining in a petulant or whining manner","She became querulous and demanding."
857,"Rambunctious","adjective","uncontrollably exuberant; boisterous","Rambunctious kids running around and shouting."
858,"Skullduggery","noun","underhanded or unscrupulous behavior","A firm that investigates commercial skullduggery."
859,"Torpid","adjective","mentally or physically inactive; lethargic","We sat around in a torpid state."
860,"Utilitarian","adjective","designed to be useful or practical rather than attractive","Utilitarian buildings."
861,"Vituperate","verb","blame or insult (someone) in strong or violent language","They vituperated him as a traitor."
862,"Wistful","adjective","having or showing a feeling of vague or regretful longing","A wistful smile."
863,"Xenogenesis","noun","the supposed generation of offspring that is markedly different from either parent","A theory of xenogenesis."
864,"Yokel","noun","an uneducated and unsophisticated person from the countryside","Country yokels."
865,"Zephyr","noun","a soft gentle breeze","The zephyr from the sea."
866,"Apposite","adjective","apt in the circumstances or in relation to something","An apposite quotation."
867,"Bilious","adjective","affected by or associated with nausea or vomiting","Bilious symptoms."
868,"Cavil","verb","make petty or unnecessary objections","They caviled at the cost."
869,"Dolt","noun","a stupid person","Don't be such a dolt."
870,"Excoriate","verb","criticize (someone) severely","The papers that had been excoriating him were now lauding him."
871,"Farrago","noun","a confused mixture","A farrago of fact and myth about Abraham Lincoln."
872,"Garrulous","adjective","excessively talkative, especially on trivial matters","A garrulous cab driver."
873,"Hirsute","adjective","hairy","He was a tall, hirsute man."
874,"Intransigent","adjective","unwilling or refusing to change one's views or to agree about something","Her father had tried persuasion, but she was intransigent."
875,"Jingoistic","adjective","characterized by extreme patriotism, especially in the form of aggressive or warlike foreign policy","Jingoistic propaganda."
876,"Kleptomaniac","noun","a recurrent urge to steal, typically without regard for need or profit","He was a kleptomaniac."
877,"Lugubrious","adjective","looking or sounding sad and dismal","His face looked even more lugubrious than usual."
878,"Mendicant","noun","a beggar","He gave his earnings to the mendicants in the streets."
879,"Nonplussed","adjective","(of a person) surprised and confused so much that they are unsure how to react","He was nonplussed by his sudden elevation to stardom."
880,"Onerous","adjective","(of a task, duty, or responsibility) involving an amount of effort and difficulty that is oppressively burdensome","He found his duties increasingly onerous."
881,"Parsimonious","adjective","unwilling to spend money or use resources; stingy or frugal","She's too parsimonious to heat the house properly."
882,"Quaff","verb","drink (something, especially an alcoholic drink) heartily","He quaffed pint after pint of good Berkshire ale."
883,"Ribald","adjective","referring to sexual matters in an amusingly rude or irreverent way","A ribald comment."
884,"Sanguine","adjective","optimistic or positive, especially in an apparently bad or difficult situation","He is sanguine about prospects for the global economy."
885,"Trenchant","adjective","vigorous or incisive in expression or style","She heard angry voices, not loud, yet certainly trenchant."
886,"Unctuous","adjective","excessively or ingratiatingly flattering; oily","He seemed anxious to please but not in an unctuous way."
887,"Vainglorious","adjective","excessively proud of oneself or one's achievements; overly vain","This vainglorious boast of personal infallibility."
888,"Wizen","adjective","shriveled or wrinkled with age","A wizen old man."
889,"Xiphoid","adjective","sword-shaped","The xiphoid process is a small extension of bone just below the sternum."
890,"Yaffle","verb","eat noisily","They yaffled their food like pigs."
891,"Zygote","noun","a diploid cell resulting from the fusion of two haploid gametes; a fertilized ovum","The zygote develops into an embryo."
892,"Acerbic","adjective","(especially of a comment or style of speaking) sharp and forthright","His acerbic wit."
